"date","name","category","value","color"
"2000-01-01","Coca-Cola","Beverages","72537","#1f77b4"
"2000-01-01","Microsoft","Technology","70196","#ff7f0e"
"2000-01-01","IBM","Business Services","53183","#2ca02c"
"2000-01-01","Intel","Technology","39048","#d62728"
"2000-01-01","Nokia","Technology","38528","#9467bd"
"2000-01-01","GE","Diversified","38127","#8c564b"
"2000-01-01","Ford","Automotive","36368","#e377c2"
"2000-01-01","Disney","Media","33553","#7f7f7f"
"2000-01-01","McDonald's","Restaurants","27859","#bcbd22"
"2000-01-01","AT&T","Telecommunications","25548","#17becf"
"2000-01-01","Marlboro","Tobacco","22110","#aec7e8"
"2000-01-01","Mercedes-Benz","Automotive","21104","#ffbb78"
"2000-01-01","HP","Electronics","20572","#98df8a"
"2000-01-01","Cisco","Business Services","20067","#ff9896"
"2000-01-01","Toyota","Automotive","18823","#c5b0d5"
"2000-01-01","Citi","Financial Services","18809","#c49c94"
"2000-01-01","Gillette","FMCG","17358","#f7b6d2"
"2000-01-01","Sony","Electronics","16409","#c7c7c7"
"2000-01-01","American Express","Financial Services","16122","#dbdb8d"
"2000-01-01","Honda","Automotive","15244","#9edae5"
"2000-01-01","Compaq","Technology","14602","#1f77b4"
"2000-01-01","NESCAF?","Beverages","13680","#ff7f0e"
"2000-01-01","BMW","Automotive","12969","#2ca02c"
"2000-01-01","Kodak","Electronics","11822","#d62728"
"2000-01-01","Heinz","FMCG","11742","#9467bd"
"2000-01-01","Budweiser","Alcohol","10684","#8c564b"
"2000-01-01","Xerox","Business Services","9699","#e377c2"
"2000-01-01","Dell","Electronics","9476","#7f7f7f"
"2000-01-01","Gap","Apparel","9316","#bcbd22"
"2000-01-01","Nike","Sporting Goods","8015","#17becf"
"2000-01-01","Volkswagen","Automotive","7834","#aec7e8"
"2000-01-01","Ericsson","Electronics","7805","#ffbb78"
"2000-01-01","Kellogg's","FMCG","7357","#98df8a"
"2000-01-01","Louis Vuitton","Luxury","6887","#ff9896"
"2000-01-01","Pepsi","Beverages","6636","#c5b0d5"
"2000-01-01","Apple","Technology","6594","#c49c94"
"2000-01-01","MTV","Media","6411","#f7b6d2"
"2000-01-01","Yahoo!","Media","6299","#c7c7c7"
"2000-01-01","SAP","Business Services","6135","#dbdb8d"
"2000-01-01","IKEA","Retail","6031","#9edae5"
"2000-01-01","Duracell","FMCG","5885","#1f77b4"
"2000-01-01","Philips","Electronics","5481","#ff7f0e"
"2000-01-01","Samsung","Technology","5223","#2ca02c"
"2000-01-01","Gucci","Luxury","5149","#d62728"
"2000-01-01","Kleenex","FMCG","5144","#9467bd"
"2000-01-01","Reuters","Media","4876","#8c564b"
"2000-01-01","AOL","Media","4531","#e377c2"
"2000-01-01","Amazon","Technology","4528","#7f7f7f"
